BRAND NAME,INDICATION,WOMEN,WHITE,BLACK OR AFRICAN AMERICAN,ASIAN,"ALL OTHER (Aggregated):
American Indian or Alaska Native (AI/AN), Native Hawaiian or Other Pacific Islander (NH/OPI), Unknown/Unreported",HISPANIC OR LATINO (2017 AND LATER ONLY),UNITED STATES (2017 ONLY),"AGE
65 and OLDER","AGE
75 and OLDER","AGE
80 and OLDER",YEAR,NOTES
STRENSIQ(^),"Treatment of perinatal, infantile and juvenile-onset hypophosphatasia (HPP)",52%,81%,0%,9%,10%,,,0%,0%,0%,2015,
STRENSIQ(^^),"Treatment of perinatal, infantile and juvenile-onset hypophosphatasia (HPP)",50%,95%,0%,0%,5%,,,0%,0%,0%,2015,
TAGRISSO,Treatment of patients with advanced non-small cell lung cancer (NSCLC),68%,36%,<1%,60%,3%,,,45%,13%,4%,2015,
TRESIBA*,To improve glucose control in adults with diabetes mellitus,44%,80%,1%,16%,2%,,,7%,<1%,<1%,2015,
TRESIBA**,To improve glucose control in adults with diabetes mellitus,44%,70%,7%,21%,2%,,,24%,3%,<1%,2015,
UNITUXIN,Treatment of children with high-risk neuroblastoma,40%,82%,7%,3%,8%,,,N/A,N/A,N/A,2015,
UPTRAVI,For the treatment of adults with pulmonary artery hypertension,80%,75%,2%,21%,2%,,,18%,1%,<1%,2015,
VARUBI,To prevent delayed phase chemotherapy-induced nausea and vomiting,60%,75%,2%,14%,9%,,,26%,5%,1%,2015,
VELTASSA,Treatment of hyperkalemia,39%,99%,<1%,<1%,<1%,,,61%,21%,4%,2015,
VIBERZI,Treatment of irritable bowel syndrome with diarrhea,66%,86%,12%,1%,2%,,,10%,6%,<1%,2015,
VRAYLAR,Treatment of schizophrenia,28%,43%,34%,17%,6%,,,<1%,0%,0%,2015,
VRAYLAR,Treatment of bipolar disorder,41%,49%,25%,24%,2%,,,<1%,0%,0%,2015,
XURIDEN,Treatment of patients with hereditary orotic aciduria,25%,100%,0%,0%,0%,,,N/A,N/A,N/A,2015,
YONDELIS,Treatment of certain types of advances tissue sarcoma,70%,76%,12%,4%,8%,,,22%,3%,<1%,2015,
ZURAMPIC,For lowering uric acid levels in the blood of adult patients with gout,4%,78%,12%,6%,5%,,,13%,3%,<1%,2015,
ADLYXIN§,treatment of type 2 diabetes mellitus,52%,64%,3%,32%,2%,,,19%,,,2016,
ADLYXIN§§,treatment of type 2 diabetes mellitus,31%,75%,4%,13%,8%,,,34%,,,2016,
ANTHIM,For the treatment of inhalational anthrax,46%,69%,28%,1%,2%,,,9%,,,2016,
AXUMIN,Detection of prostate cancer recurrence,0%,31%,4%,<1%,64%,,,66%,,,2016,
BRIVIACT,Treatment of partial-onset seizures,49%,74%,3%,12%,11%,,,2%,,,2016,
CINQUAIR,For the treatment of a specific type of severe asthma (called eosinophilic phenotype asthma),62%,73%,12%,8%,8%,,,6%,,,2016,
DEFITELIO,Treatment of hepatic veno-occlusive disease (VOD),45%,71%,6%,4%,19%,,,0%,,,2016,
EPCLUSA,"Treatment of chronic Hepatitis C virus genotypes 1, 2, 3, 4, 5 or 6 infection.",38%,85%,6%,7%,2%,,,11%,,,2016,
EUCRISA,To treat mild to moderate eczema (atopic dermatitis) in patients two years of age and older,56%,61%,28%,5%,6%,,,0%,,,2016,
EXONDYS 51#,Treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 51 skipping,0%,92%,0%,8%,0%,,,0%,,,2016,
EXONDYS 51##,Treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 51 skipping,0%,100%,0%,0%,0%,,,0%,,,2016,
LARTRUVO,Treatment of soft tissue sarcoma,56%,86%,8%,3%,2%,,,32%,,,2016,
NETSPOT,For detection of a specific type of tumors called somatostatin receptor positive neuro-endocrine tumors (NETs),52%,N/A,N/A,N/A,100%,,,N/A,,,2016,
NUPLAZID,Treatment of hallucinations and delusions in patients with Parkinson’s disease,36%,91%,1%,5%,3%,,,82%,,,2016,
OCALIVA,Treatment of primary biliary cholangitis in adults,91%,94%,1%,1%,3%,,,19%,,,2016,
RUBRACA,Treatment of women with certain type of advanced ovarian cancer,100%,80%,2%,6%,12%,,,42%,,,2016,
SPINRAZA,Spinal muscular atrophy (SMA),55%,86%,2%,6%,6%,,,0%,,,2016,
TALTZ,Treatment of moderate to severe plaque psoriasis in adults,32%,93%,2%,4%,1%,,,7%,,,2016,
TECENTRIQ,Treatment of a type of bladder cancer called urothelial carcinoma,78%,91%,2%,2%,5%,,,59%,,,2016,
VENCLEXTA,Treatment of chronic lymphocytic leukemia (CLL),31%,94%,3%,<1%,3%,,,58%,,,2016,
XIIDRA,Treatment of the signs and symptoms of dry eye disease,76%,85%,9%,4%,2%,,,37%,,,2016,
ZEPATIER,Treatment of chronic Hepatis C genotypes 1 or 4 infection,39%,75%,15%,9%,1%,,,11%,,,2016,
ZINBRYTA,Treatment of relapsing forms of multiple sclerosis (MS),67%,91%,1%,3%,5%,,,0%,,,2016,
ZINPLAVA,Decreasing the risk of Clostridium difficile infection recurrence,57%,85%,5%,8%,2%,,,62%,,,2016,
ALIQOPA,Treatment of relapsed follicular lymphoma,54%,83%,0%,9%,8%,6%,13%,48%,,,2017,"Note: Values for ""OTHER"" category were calculated by subtracting all other race category values from 1."
ALUNBRIG,Treatment of metastatic non-small cell lung cancer,57%,67%,1%,31%,1%,6%,NR,23%,,,2017,
AUSTEDO,Treatment of chorea associated with Huntington’s disease,44%,92%,6%,0%,2%,0%,93%,19%,,,2017,
BAVENCIO,Treatment of metastatic Merkel cell carcinoma,26%,92%,0%,3%,5%,6%,58%,75%,,,2017,
BAXDELA,Treatment of acute bacterial skin and skin structure infection,37%,86%,5%,0%,9%,28%,52%,14%,,,2017,
BENZNIDAZOLE,Treatment of Chagas disease,46%,NR,NR,NR,1,NR,0%,0%,,,2017,
BESPONSA,Treatment of B-cell acute lymphocytic leukemia,41%,71%,2%,17%,10%,NR,47%,37%,,,2017,
BEVYXXA,Prevention of venous thromboembolism,54%,93%,2%,<1%,5%,11%,7%,90%,,,2017,
BRINEURA,Treatment of Batten disease,63%,96%,0%,4%,0%,4%,13%,0%,,,2017,
CALQUENCE,Treatment of mantle cell lymphoma,20%,74%,3%,0%,23%,3%,36%,65%,,,2017,
DUPIXENT,Treatment of atopic dermatitis,42%,67%,6%,24%,3%,4%,34%,4%,,,2017,
EMFLAZA,Treatment of Duchenne muscular dystrophy,0%,94%,0%,1%,5%,NR,NR,0%,,,2017,
FASENRA,Treatment of eosinophilic asthma,63%,80%,3%,12%,5%,20%,15%,13%,,,2017,
GIAPREZA,To increase blood pressure in septic or other distributive shock,39%,80%,10%,4%,6%,5%,74%,48%,,,2017,
HEMLIBRA,To prevent or reduce bleeding in patients with hemophilia A,0%,56%,11%,26%,7%,12%,28%,3%,,,2017,
IDHIFA,Treatment of relapsed acute myelogenous leukemia,49%,77%,6%,<1%,17%,9%,83%,60%,,,2017,
IMFINZI,Treatment of urothelial carcinoma,28%,64%,3%,20%,13%,NR,49%,62%,,,2017,
INGREZZA,Treatment of tardive dyskinesia,42%,57%,39%,<1%,4%,28%,100%,18%,,,2017,
KEVZARA,Treatment of rheumatoid arthritis,82%,81%,3%,6%,10%,39%,14%,13%,,,2017,
KISQALI,"Treatment of HR-positive, HER2-negative breast cancer",100%,82%,3%,8%,7%,10%,32%,44%,,,2017,
MACRILEN,Diagnosis of adult growth hormone deficiency,42%,86%,2%,3%,9%,NR,24%,2%,,,2017,
MAVYRET,"Treatment of chronic hepatitis C genotypes 1, 2, 3, 4, 5 or 6",44%,80%,6%,12%,2%,9%,32%,14%,,,2017,
MEPSEVII,Treatment of mucopolysaccharidosis VII,67%,75%,0%,0%,25%,50%,100%,0%,,,2017,
NERLYNX,Treatment of HER2 positive breast cancer,100%,81%,3%,13%,3%,2%,32%,12%,,,2017,
OCREVUS,Treatment of multiple sclerosis,61%,92%,4%,0%,4%,11%,26%,0%,,,2017,
OZEMPIC,Treatment of type 2 diabetes mellitus,42%,70%,6%,22%,2%,16%,28%,34%,,,2017,
PARSABIV,Treatment of secondary hyperparathyroidism in patients with chronic kidney disease on hemodialysis,40%,66%,28%,3%,3%,13%,52%,35%,,,2017,
PREVYMIS,Prevention of cytomegalovirus infection in allogeneic hematopoietic stem cell transplant,42%,82%,2%,10%,6%,7%,36%,16%,,,2017,
RADICAVA,Treatment of amyotrophic lateral sclerosis,39%,0%,0%,100%,0%,0%,0%,30%,,,2017,
RHOPRESSA,Treatment of open angle glaucoma,62%,73%,25%,2%,0%,19%,100%,54%,,,2017,
RYDAPT,Treatment of acute myelogenous leukemia,56%,38%,2%,2%,58%,2%,33%,0%,,,2017,
RYDAPT,Treatment of systemic mastocytosis,36%,93%,1%,0%,6%,3%,41%,45%,,,2017,
SILIQ,Treatment of plaque psoriasis,31%,91%,3%,3%,3%,NR,22%,6%,,,2017,
SOLOSEC,Treatment of bacterial vaginosis,100%,46%,50%,1%,3%,15%,100%,0%,,,2017,
STEGLATRO,Treatment of type 2 diabetes mellitus,48%,77%,5%,13%,5%,24%,28%,26%,,,2017,
SYMPROIC,Treatment of opioid-induced constipation,62%,80%,18%,1%,1%,8%,85%,15%,,,2017,
TREMFYA,Treatment of plaque psoriasis,29%,82%,2%,14%,2%,6%,20%,5%,,,2017,
TRULANCE,Treatment of chronic idiopathic constipation,79%,72%,23%,3%,2%,41%,98%,11%,,,2017,
TYMLOS,Treatment of postmenopausal osteoporosis,100%,80%,3%,16%,1%,24%,2%,81%,,,2017,
VABOMERE,Treatment of complicated urinary tract infection,66%,93%,1%,2%,4%,8%,3%,35%,,,2017,
VERZENIO,"Treatment of HR-positive, HER2-negative breast cancer",100%,61%,2%,27%,10%,12%,19%,36%,,,2017,
VOSEVI,"Treatment of hepatitis C genotypes 1, 2, 3, 4, 5 or 6",23%,84%,12%,2%,2%,7%,57%,16%,,,2017,
VYZULTA,Treatment of glaucoma,58%,74%,24%,1%,1%,12%,91%,52%,,,2017,
XADAGO,Treatment of Parkinson’s disease,33%,41%,<1%,59%,0,2%,8%,38%,,,2017,
XEPI,Treatment of impetigo,44%,53%,34%,4%,9%,17%,23%,3%,,,2017,
XERMELO,Treatment of carcinoid syndrome diarrhea,50%,90%,1%,0%,9%,0%,32%,49%,,,2017,
ZEJULA,Treatment of ovarian cancer,100%,87%,1%,3%,9%,3%,70%,35%,,,2017,
AIMOVIG,Preventive treatment of migraine in adults,85%,91%,7%,1%,1%,7%,,45%,,,2018,"Note: Hispanic is one category out of: Hispanic, Not Hispanic, Unknown/Unreported. Also note that some Snapshots have ""Hispanic or Latino"" whereas others only have ""Hispanic"""
AKYNZEO,Prevention of the nausea and vomiting that happens right away or later in adults receiving certain anticancer medicines (chemotherapy),40%,100%,<1%,<1%,1%,Not reported,,32%,,,2018,
AZEDRA,Treatment of pheochromocytomas or paragangliomas,42%,75%,19%,6%,0%,1.10%,,16%,,,2018,
BIKTARVY,Treatment of human immunodeficiency virus 1 (HIV-1) infection in adults.,13%,63%,29%,3%,4%,21%,65%,2%,,,2018,
BRAFTOVI,Treatment of melanoma (a type of skin cancer) when used with another drug binimetinib,41%,91%,0%,3%,6%,9%,,29%,,,2018,
CRYSVITA,For the treatment of X-linked hypophosphatemia,60%,83%,3%,11%,3%,8%,,,,,2018,
DOPTELET,Treatment of adults with low platelet count,34%,60%,2%,33%,5%,17.70%,,25%,,,2018,
EPIDIOLEX,Treatment of seizures in two rare and severe forms of epilepsy.,46%,86%,4%,2%,8%,2%,,0%,,,2018,
ERLEADA,Treatment of prostate cancer that has not spread to other parts of the body (non-metastatic),0%,66%,6%,12%,16%,1.20%,,89%,,,2018,
ILUMYA,For the treatment of moderate to severe plaque psoriasis,29%,80%,3%,14%,3%,9%,,9%,,,2018,
KRINTAFEL,"Prevention of malaria relapse caused by the parasite, Plasmodium vivax",25%,2%,11%,19%,68%,70%,,2%,,,2018,
LOKELMA,Treatment of hyperkalemia in adults,41%,85%,12%,2%,1%,33%,,57%,,,2018,
LUCEMYRA,For the treatment of symptoms associated with opioid withdrawal during abrupt opioid discontinuation.,28%,67%,22%,<1%,11%,17%,,<1%,,,2018,
LUTATHERA,For the treatment of somatostatin receptor-positive gastroenteropancreatic neuroendocrine tumors (GEP-NETs),49%,83%,4%,<1%,13%,3%,,51%,,,2018,
MEKTOVI,Treatment of  melanoma (a type of skin cancer)  when used with another drug encorafenib.,41%,91%,0%,3%,6%,9%,,29%,,,2018,
MOXIDECTIN,Treatment of onchocerciasis in patients 12 years of age and older,36%,0%,100%,0%,0%,0%,,9.10%,,,2018,
MULPLETA,Treatment of adults with low platelet count,41%,50%,<1%,47%,3%,7.90%,,37%,,,2018,
OLUMIANT,Treatment of adult patients with rheumatoid arthritis (RA) whose disease was not well controlled using RA medications called Tumor Necrosis Factor (TNF) antagonists,80%,67%,3%,25%,5%,24.90%,,17.80%,,,2018,
OMEGAVEN,Parenteral nutrition-associated cholestasis (PNAC),42%,63%,12%,4%,21%,20%,,N/A,,,2018,
ORILISSA,Treatment of moderate to severe pain associated with endometriosis,100%,88%,9%,1%,2%,14.70%,,0%,,,2018,
PALYNZIQ,Lowering the blood levels of phenylalanine in adults with phenylketonuria (PKU),50%,98%,1%,0%,1%,2.50%,,0%,,,2018,
POTELIGEO,Treatment of  adults with mycosis fungoides or Sézary syndrome,42%,70%,10%,5%,15%,4%,,49%,,,2018,
SYMDEKO,For the treatment of cystic fibrosis,50%,97%,1%,<1%,2%,2.90%,,N/A,,,2018,
TAVALISSE,Treatment of  adults with low platelet count due to chronic immune thrombocytopenia (ITP),61%,93%,3%,3%,1%,3%,,26%,,,2018,
TIBSOVO,Treatment of adults with acute myeloid leukemia (AML) that have a mutation in a gene called IDH1 and whose disease has come back or has not improved after previous treatment(s),50%,63%,6%,3%,28%,5%,,63%,,,2018,
TPOXX,Treatment of smallpox disease,59%,69%,28%,1%,2%,11%,,10%,,,2018,
TROGARZO,Treatment of human immunodeficiency virus 1 (HIV-1) infection in adults.,15%,55%,32%,10%,3%,25%,,5%,,,2018,
ZEMDRI,Treatment of adults who have a complicated urinary tract infection,53%,100%,0%,0%,1%,1%,,46%,,,2018,
