Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,GPA,Research,Admitted
224,308,109,2,3.0,4.0,3.41,0,No
225,305,105,2,3.0,2.0,3.32,0,No
226,296,99,2,2.5,2.5,3.24,0,No
227,306,110,2,3.5,4.0,3.41,0,No
228,312,110,2,3.5,3.0,3.44,0,No
229,318,112,3,4.0,3.5,3.5,0,No
230,324,111,4,3.0,3.0,3.63,1,Yes
231,313,104,3,4.0,4.5,3.49,0,No
232,319,106,3,3.5,2.5,3.36,1,Yes
233,312,107,2,2.5,3.5,3.33,0,No
234,304,100,2,2.5,3.5,3.25,0,No
235,330,113,5,5.0,4.0,3.75,1,Yes
236,326,111,5,4.5,4.0,3.72,1,Yes
237,325,112,4,4.0,4.5,3.7,1,Yes
238,329,114,5,4.5,5.0,3.71,1,Yes
239,310,104,3,2.0,3.5,3.37,0,No
240,299,100,1,1.5,2.0,3.18,0,No
241,296,101,1,2.5,3.0,3.1,0,No
242,317,103,2,2.5,2.0,3.29,0,No
243,324,115,3,3.5,3.0,3.53,1,No
244,325,114,3,3.5,3.0,3.65,1,Yes
245,314,107,2,2.5,4.0,3.45,0,No
246,328,110,4,4.0,2.5,3.64,1,Yes
247,316,105,3,3.0,3.5,3.52,0,No
248,311,104,2,2.5,3.5,3.42,0,No
249,324,110,3,3.5,4.0,3.58,1,Yes
250,321,111,3,3.5,4.0,3.56,1,Yes
251,320,104,3,3.0,2.5,3.46,1,Yes
252,316,99,2,2.5,3.0,3.63,0,No
253,318,100,2,2.5,3.5,3.44,1,No
254,335,115,4,4.5,4.5,3.9,1,Yes
255,321,114,4,4.0,5.0,3.68,0,Yes
256,307,110,4,4.0,4.5,3.37,0,Yes
257,309,99,3,4.0,4.0,3.45,0,Yes
258,324,100,3,4.0,5.0,3.48,1,Yes
259,326,102,4,5.0,5.0,3.53,1,Yes
260,331,119,4,5.0,4.5,3.77,1,Yes
261,327,108,5,5.0,3.5,3.68,1,Yes
262,312,104,3,3.5,4.0,3.26,0,No
263,308,103,2,2.5,4.0,3.37,1,No
264,324,111,3,2.5,1.5,3.54,1,No
265,325,110,2,3.0,2.5,3.53,1,Yes
266,313,102,3,2.5,2.5,3.5,0,No
267,312,105,2,2.0,2.5,3.41,0,No
268,314,107,3,3.0,3.5,3.29,1,No
269,327,113,4,4.5,5.0,3.69,0,Yes
270,308,108,4,4.5,5.0,3.36,0,Yes
271,306,105,2,2.5,3.0,3.31,1,No
272,299,96,2,1.5,2.0,3.17,0,No
273,294,95,1,1.5,1.5,3.08,0,No
274,312,99,1,1.0,1.5,3.23,1,No
275,315,100,1,2.0,2.5,3.21,0,No
276,322,110,3,3.5,3.0,3.61,1,Yes
277,329,113,5,5.0,4.5,3.81,1,Yes
278,320,101,2,2.5,3.0,3.48,0,No
279,308,103,2,3.0,3.5,3.42,0,No
280,304,102,2,3.0,4.0,3.52,0,No
281,311,102,3,4.5,4.0,3.48,1,No
282,317,110,3,4.0,4.5,3.67,1,Yes
283,312,106,3,4.0,3.5,3.54,1,Yes
284,321,111,3,2.5,3.0,3.59,1,Yes
285,340,112,4,5.0,4.5,3.9,1,Yes
286,331,116,5,4.0,4.0,3.73,1,Yes
287,336,118,5,4.5,4.0,3.71,1,Yes
288,324,114,5,5.0,4.5,3.66,1,Yes
289,314,104,4,5.0,5.0,3.64,0,Yes
290,313,109,3,4.0,3.5,3.63,0,Yes
291,307,105,2,2.5,3.0,3.08,0,No
292,300,102,2,1.5,2.0,3.17,0,No
293,302,99,2,1.0,2.0,3.21,0,No
294,312,98,1,3.5,3.0,3.3,1,No
295,316,101,2,2.5,2.0,3.35,1,No
296,317,100,2,3.0,2.5,3.46,0,No
297,310,107,3,3.5,3.5,3.5,0,Yes
298,320,120,3,4.0,4.5,3.67,0,Yes
299,330,114,3,4.5,4.5,3.73,1,Yes
300,305,112,3,3.0,3.5,3.49,0,No
301,309,106,2,2.5,2.5,3.23,0,No
302,319,108,2,2.5,3.0,3.53,0,No
303,322,105,2,3.0,3.0,3.41,1,No
304,323,107,3,3.5,3.5,3.45,1,No
305,313,106,2,2.5,2.0,3.4,0,No
306,321,109,3,3.5,3.5,3.55,1,Yes
307,323,110,3,4.0,3.5,3.67,1,Yes
308,325,112,4,4.0,4.0,3.63,1,Yes
309,312,108,3,3.5,3.0,3.44,0,No
310,308,110,4,3.5,3.0,3.47,0,No
311,320,104,3,3.0,3.5,3.52,1,Yes
312,328,108,4,4.5,4.0,3.7,1,Yes
313,311,107,4,4.5,4.5,3.63,1,Yes
314,301,100,3,3.5,3.0,3.24,0,No
315,305,105,2,3.0,4.0,3.28,0,No
316,308,104,2,2.5,3.0,3.25,0,No
317,298,101,2,1.5,2.0,3.17,0,No
318,300,99,1,1.0,2.5,3.23,0,No
319,324,111,3,2.5,2.0,3.55,1,Yes
320,327,113,4,3.5,3.0,3.5,1,Yes
321,317,106,3,4.0,3.5,3.43,1,Yes
322,323,104,3,4.0,4.0,3.4,1,No
323,314,107,2,2.5,4.0,3.33,0,No
324,305,102,2,2.0,2.5,3.3,0,No
325,315,104,3,3.0,2.5,3.36,0,No
326,326,116,3,3.5,4.0,3.69,1,Yes
327,299,100,3,2.0,2.0,3.23,0,No
328,295,101,2,2.5,2.0,3.17,0,No
329,324,112,4,4.0,3.5,3.54,1,Yes
330,297,96,2,2.5,1.5,3.18,0,No
331,327,113,3,3.5,3.0,3.49,1,Yes
332,311,105,2,3.0,2.0,3.27,1,No
333,308,106,3,3.5,2.5,3.31,1,Yes
334,319,108,3,3.0,3.5,3.44,1,No
335,312,107,4,4.5,4.0,3.49,1,No
336,325,111,4,4.0,4.5,3.67,1,Yes
337,319,110,3,3.0,2.5,3.54,0,No
338,332,118,5,5.0,5.0,3.82,1,Yes
339,323,108,5,4.0,4.0,3.52,1,Yes
340,324,107,5,3.5,4.0,3.49,1,Yes
341,312,107,3,3.0,3.0,3.41,1,Yes
342,326,110,3,3.5,3.5,3.53,1,Yes
343,308,106,3,3.0,3.0,3.32,0,No
344,305,103,2,2.5,3.5,3.28,0,No
345,295,96,2,1.5,2.0,2.96,0,No
346,316,98,1,1.5,2.0,3.0,0,No
347,304,97,2,1.5,2.0,3.08,0,No
348,299,94,1,1.0,1.0,2.96,0,No
349,302,99,1,2.0,2.0,2.92,0,No
350,313,101,3,2.5,3.0,3.24,0,No
351,318,107,3,3.0,3.5,3.33,1,Yes
352,325,110,4,3.5,4.0,3.5,1,No
353,303,100,2,3.0,3.5,3.25,1,No
354,300,102,3,3.5,2.5,3.29,0,No
355,297,98,2,2.5,3.0,3.09,0,No
356,317,106,2,2.0,3.5,3.27,0,No
357,327,109,3,3.5,4.0,3.54,1,Yes
358,301,104,2,3.5,3.5,3.18,1,No
359,314,105,2,2.5,2.0,3.08,0,No
360,321,107,2,2.0,1.5,3.4,0,Yes
361,322,110,3,4.0,5.0,3.48,1,Yes
362,334,116,4,4.0,3.5,3.85,1,Yes
363,338,115,5,4.5,5.0,3.72,1,Yes
364,306,103,2,2.5,3.0,3.37,0,No
365,313,102,3,3.5,4.0,3.59,1,Yes
366,330,114,4,4.5,3.0,3.7,1,Yes
367,320,104,3,3.5,4.5,3.36,1,Yes
368,311,98,1,1.0,2.5,3.01,0,No
369,298,92,1,2.0,2.0,3.18,0,No
370,301,98,1,2.0,3.0,3.24,1,No
371,310,103,2,2.5,2.5,3.32,0,No
372,324,110,3,3.5,3.0,3.72,1,Yes
373,336,119,4,4.5,4.0,3.88,1,Yes
374,321,109,3,3.0,3.0,3.44,1,Yes
375,315,105,2,2.0,2.5,3.08,0,No
376,304,101,2,2.0,2.5,3.09,0,No
377,297,96,2,2.5,2.0,3.0,0,No
378,290,100,1,1.5,2.0,3.05,0,No
379,303,98,1,2.0,2.5,3.08,0,No
380,311,99,1,2.5,3.0,3.4,1,No
381,322,104,3,3.5,4.0,3.56,1,Yes
382,319,105,3,3.0,3.5,3.5,1,No
383,324,110,4,4.5,4.0,3.69,1,Yes
384,300,100,3,3.0,3.5,3.33,0,No
385,340,113,4,5.0,5.0,3.93,1,Yes
386,335,117,5,5.0,5.0,3.96,1,Yes
387,302,101,2,2.5,3.5,3.21,0,No
388,307,105,2,2.0,3.5,3.27,0,No
389,296,97,2,1.5,2.0,3.15,0,No
390,320,108,3,3.5,4.0,3.4,1,Yes
391,314,102,2,2.0,2.5,3.32,0,No
392,318,106,3,2.0,3.0,3.49,0,No
393,326,112,4,4.0,3.5,3.68,1,Yes
394,317,104,2,3.0,3.0,3.53,0,Yes
395,329,111,4,4.5,4.0,3.72,1,Yes
396,324,110,3,3.5,3.5,3.65,1,Yes
397,325,107,3,3.0,3.5,3.67,1,Yes
398,330,116,4,5.0,4.5,3.81,1,Yes
399,312,103,3,3.5,4.0,3.54,0,No
400,333,117,4,5.0,4.0,3.9,1,Yes
